user_id,tier,crawled
386265,BRONZE,1
479239,SILVER,1
19587223,SILVER,1
20152484,SILVER,1
20230164,SILVER,1
20642379,SILVER,1
21109426,SILVER,1
21807252,SILVER,1
22003937,SILVER,1
22134971,SILVER,1
22331583,SILVER,1
22421545,SILVER,1
22462675,SILVER,1
23838810,SILVER,1
24625213,BRONZE,1
24633550,SILVER,1
25747586,SILVER,1
27392010,SILVER,1
30900246,SILVER,1
31023267,SILVER,1
31785132,SILVER,1
32432278,SILVER,1
32871119,SILVER,1
33996961,SILVER,1
35037381,SILVER,1
35201136,SILVER,1
35741852,SILVER,1
37822657,SILVER,1
37959682,SILVER,1
38199377,SILVER,1
38903821,SILVER,1
39825438,BRONZE,1
40312868,SILVER,1
40681703,SILVER,1
40779841,SILVER,1
41316385,SILVER,1
41738355,SILVER,1
42240719,SILVER,1
42713166,SILVER,1
45334649,SILVER,1
45752494,SILVER,1
46162018,SILVER,1
46243998,BRONZE,1
46612493,SILVER,1
46620821,BRONZE,1
47087748,SILVER,1
47154540,SILVER,1
48177198,SILVER,1
48201968,SILVER,1
48652317,SILVER,1
49053879,BRONZE,1
49912115,SILVER,1
50868248,SILVER,1
50929702,SILVER,1
51609729,SILVER,1
51757226,SILVER,1
53788698,SILVER,1
54419682,SILVER,1
54976697,BRONZE,1
56328262,SILVER,1
56377480,SILVER,1
56390152,SILVER,1
56881494,SILVER,1
58450044,SILVER,1
58474524,SILVER,1
59089124,BRONZE,1
61234183,SILVER,1
61407469,SILVER,1
61433857,SILVER,1
62398574,SILVER,1
64954562,SILVER,1
64972146,SILVER,1
66281616,BRONZE,1
68839424,SILVER,1
69460031,SILVER,1
70011549,SILVER,1
19253848,SILVER,1
22875972,SILVER,1
23061149,SILVER,1
24717088,SILVER,1
26253884,SILVER,1
30227129,SILVER,1
32671980,SILVER,1
32966295,SILVER,1
35920818,SILVER,1
36584573,SILVER,1
37915117,SILVER,1
38469656,BRONZE,1
40023324,SILVER,1
40059800,SILVER,1
42665000,SILVER,1
45800467,SILVER,1
46215191,SILVER,1
47129492,SILVER,1
47525658,SILVER,1
479239,SILVER,1
492675,SILVER,1
50135755,SILVER,1
52445365,SILVER,1
52705543,SILVER,1
57269250,SILVER,1
58744513,SILVER,1
58791472,SILVER,1
60160355,SILVER,1
65461251,SILVER,1
66190821,SILVER,1
66772935,SILVER,1
70669081,SILVER,1
71851273,SILVER,1
4484,SILVER,0
23336,SILVER,0
57070,SILVER,0
66675,BRONZE,0
70620,SILVER,0
72839,SILVER,0
83657,SILVER,0
86157,SILVER,0
92079,SILVER,0
94820,SILVER,0
98376,SILVER,0
105062,SILVER,0
121320,SILVER,0
133839,SILVER,0
191445,SILVER,0
194831,SILVER,0
210236,SILVER,0
243561,SILVER,0
287428,BRONZE,0
296276,GOLD,0
297491,SILVER,0
307814,SILVER,0
333609,SILVER,0
334957,SILVER,0
334979,SILVER,0
354326,SILVER,0
380717,SILVER,0
394919,SILVER,0
398247,SILVER,0
408606,SILVER,0
436236,BRONZE,0
445789,SILVER,0
447513,SILVER,0
462007,SILVER,0
480426,SILVER,0
538924,SILVER,0
550287,SILVER,0
586504,SILVER,0
587007,SILVER,0
601020,SILVER,0
18978669,SILVER,0
18980394,SILVER,0
19040290,SILVER,0
19051162,SILVER,0
19062535,SILVER,0
19073808,SILVER,0
19082975,SILVER,0
19112394,SILVER,0
19128640,SILVER,0
19141672,SILVER,0
19169915,SILVER,0
19194389,SILVER,0
19209503,SILVER,0
19215004,SILVER,0
19218987,SILVER,0
19220749,SILVER,0
19223174,SILVER,0
19237988,SILVER,0
19253848,SILVER,0
19253940,SILVER,0
19258627,SILVER,0
19258932,SILVER,0
19267372,SILVER,0
19274944,SILVER,0
19279650,BRONZE,0
19287064,BRONZE,0
19296423,SILVER,0
19339187,BRONZE,0
19342957,SILVER,0
19353810,SILVER,0
19359252,SILVER,0
19361662,SILVER,0
19362638,SILVER,0
19391383,SILVER,0
19393657,SILVER,0
19394007,SILVER,0
19413661,SILVER,0
19428550,SILVER,0
19434099,SILVER,0
19453497,SILVER,0
19454399,SILVER,0
19484148,SILVER,0
19503750,BRONZE,0
19504093,SILVER,0
19557889,SILVER,0
19558682,SILVER,0
19566710,SILVER,0
19569868,SILVER,0
19571744,SILVER,0
19592821,BRONZE,0
19596478,SILVER,0
19606928,SILVER,0
19608260,SILVER,0
19617010,SILVER,0
19630251,SILVER,0
19638209,SILVER,0
19641220,BRONZE,0
19649962,SILVER,0
19659280,SILVER,0
19674293,SILVER,0
19679988,SILVER,0
19693168,SILVER,0
19694945,SILVER,0
19718450,SILVER,0
19755077,SILVER,0
19774592,SILVER,0
19780039,SILVER,0
19781188,GOLD,0
19788166,SILVER,0
19788855,SILVER,0
19789566,BRONZE,0
19817475,SILVER,0
19826304,SILVER,0
19826851,SILVER,0
19829281,SILVER,0
19833413,SILVER,0
19838011,SILVER,0
19846307,SILVER,0
19847836,SILVER,0
19854558,SILVER,0
19855233,SILVER,0
19855640,SILVER,0
19856785,GOLD,0
19863274,SILVER,0
19873482,SILVER,0
19882825,BRONZE,0
19883426,GOLD,0
19888626,SILVER,0
19897866,SILVER,0
19900904,BRONZE,0
19911674,SILVER,0
19916598,SILVER,0
19918366,SILVER,0
19923371,BRONZE,0
19925918,SILVER,0
19928908,SILVER,0
19940737,BRONZE,0
19944055,SILVER,0
19953759,SILVER,0
19966106,BRONZE,0
19970499,SILVER,0
20005788,SILVER,0
20007548,SILVER,0
20023533,SILVER,0
20036426,SILVER,0
20038352,SILVER,0
20052632,SILVER,0
20053974,SILVER,0
20056283,SILVER,0
20067981,BRONZE,0
20070850,SILVER,0
20095649,SILVER,0
20103747,SILVER,0
20117618,GOLD,0
20120972,SILVER,0
20128324,SILVER,0
20129043,SILVER,0
20130482,SILVER,0
20137146,SILVER,0
20140934,SILVER,0
20148858,SILVER,0
20151113,SILVER,0
20159547,SILVER,0
